CustomerId,Surname,Geography,Gender,Age,CreditScore,Balance,EstimatedSalary,NumOfProducts,IsActiveMember,Exited,Cluster,CustomerValue,ChurnProbability,RiskCategory,ValueCategory,ExpectedLoss,RetentionCost,ExpectedSavedValue,ROI,Priority
15634602,Hargrave,France,Female,42,619,0.0,101348.88,1,1,1,0,101348.88,0.5243878948936173,High Risk,Low Value,53146.12583302583,5067.444,15943.837749907747,2.1463273693617033,P3 — Targeted Retention
15647311,Hill,Spain,Female,41,608,83807.86,112542.58,1,1,0,1,196350.44,0.24348291746599238,Medium Risk,High Value,47807.97797693129,9817.522,14342.393393079386,0.46089750479595415,P2 — High Priority
15619304,Onio,France,Female,42,502,159660.8,113931.57,3,0,1,1,273592.37,0.9546939513646614,Critical Risk,Very High Value,261196.98077852244,13679.6185,78359.09423355672,4.728163708187967,P1 — Immediate Retention
15701354,Boni,France,Female,39,699,0.0,93826.63,2,0,0,0,93826.63,0.09987006280500942,Low Risk,Low Value,9370.47143088238,4691.3315,2811.141429264714,-0.40077962316994353,P4 — Monitor
15737888,Mitchell,Spain,Female,43,850,125510.82,79084.1,1,1,0,1,204594.92,0.05727127573096187,Low Risk,High Value,11717.412076474086,10229.746000000001,3515.2236229422256,-0.6563723456142289,P4 — Monitor
15574012,Chu,Spain,Male,44,645,113755.78,149756.71,2,0,1,1,263512.49,0.2525743635068222,Medium Risk,Very High Value,66556.49943784786,13175.6245,19966.949831354355,0.5154461810409332,P2 — High Priority
15592531,Bartlett,France,Male,50,822,0.0,10062.8,2,1,0,0,10062.8,0.04993541207043463,Low Risk,Low Value,502.49006458236954,503.14,150.74701937471085,-0.7003875275773923,P4 — Monitor
15656148,Obinna,Germany,Female,29,376,115046.74,119346.88,4,0,1,1,234393.62,0.9687524509074289,Critical Risk,High Value,227069.39385206453,11719.681,68120.81815561936,4.812514705444573,P1 — Immediate Retention
15792365,He,France,Male,44,501,142051.07,74940.5,2,1,0,1,216991.57,0.15893008447735485,Low Risk,High Value,34486.48855097386,10849.578500000001,10345.946565292157,-0.04641949313587106,P4 — Monitor
15592389,H?,France,Male,27,684,134603.88,71725.73,1,1,0,1,206329.61,0.04504488009493476,Low Risk,High Value,9294.09254248465,10316.4805,2788.227762745395,-0.7297307194303915,P4 — Monitor
