CustomerId,Surname,Geography,Gender,Age,CreditScore,Balance,EstimatedSalary,NumOfProducts,IsActiveMember,Exited,Cluster
15634602,Hargrave,France,Female,42,619,0.0,101348.88,1,1,1,0
15647311,Hill,Spain,Female,41,608,83807.86,112542.58,1,1,0,1
15619304,Onio,France,Female,42,502,159660.8,113931.57,3,0,1,1
15701354,Boni,France,Female,39,699,0.0,93826.63,2,0,0,0
15737888,Mitchell,Spain,Female,43,850,125510.82,79084.1,1,1,0,1
15574012,Chu,Spain,Male,44,645,113755.78,149756.71,2,0,1,1
15592531,Bartlett,France,Male,50,822,0.0,10062.8,2,1,0,0
15656148,Obinna,Germany,Female,29,376,115046.74,119346.88,4,0,1,1
15792365,He,France,Male,44,501,142051.07,74940.5,2,1,0,1
15592389,H?,France,Male,27,684,134603.88,71725.73,1,1,0,1
15767821,Bearce,France,Male,31,528,102016.72,80181.12,2,0,0,1
15737173,Andrews,Spain,Male,24,497,0.0,76390.01,2,0,0,0
15632264,Kay,France,Female,34,476,0.0,26260.98,2,0,0,0
15691483,Chin,France,Female,25,549,0.0,190857.79,2,0,0,0
15600882,Scott,Spain,Female,35,635,0.0,65951.65,2,1,0,0
15643966,Goforth,Germany,Male,45,616,143129.41,64327.26,2,1,0,1
15737452,Romeo,Germany,Male,58,653,132602.88,5097.67,1,0,1,1
15788218,Henderson,Spain,Female,24,549,0.0,14406.41,2,1,0,0
15661507,Muldrow,Spain,Male,45,587,0.0,158684.81,1,0,0,0
15568982,Hao,France,Female,24,726,0.0,54724.03,2,1,0,0
15577657,McDonald,France,Male,41,732,0.0,170886.17,2,1,0,0
15597945,Dellucci,Spain,Female,32,636,0.0,138555.46,2,0,0,0
15699309,Gerasimov,Spain,Female,38,510,0.0,118913.53,1,0,1,0
15725737,Mosman,France,Male,46,669,0.0,8487.75,2,1,0,0
15625047,Yen,France,Female,38,846,0.0,187616.16,1,1,0,0
15738191,Maclean,France,Male,25,577,0.0,124508.29,2,1,0,0
15736816,Young,Germany,Male,36,756,136815.64,170041.95,1,1,0,1
15700772,Nebechi,France,Male,44,571,0.0,38433.35,2,0,0,0
15728693,McWilliams,Germany,Female,43,574,141349.43,100187.43,1,1,0,1
15656300,Lucciano,France,Male,29,411,59697.17,53483.21,2,1,0,0
15589475,Azikiwe,Spain,Female,39,591,0.0,140469.38,3,0,1,0
15706552,Odinakachukwu,France,Male,36,533,85311.7,156731.91,1,1,0,1
15750181,Sanderson,Germany,Male,41,553,110112.54,81898.81,2,0,0,1
15659428,Maggard,Spain,Female,42,520,0.0,34410.55,2,1,0,0
15732963,Clements,Spain,Female,29,722,0.0,142033.07,2,1,0,0
15794171,Lombardo,France,Female,45,475,134264.04,27822.99,1,0,1,1
15788448,Watson,Spain,Male,31,490,145260.23,114066.77,1,1,0,1
15729599,Lorenzo,Spain,Male,33,804,76548.6,98453.45,1,1,0,1
15717426,Armstrong,France,Male,36,850,0.0,40812.9,1,1,0,0
15585768,Cameron,Germany,Male,41,582,70349.48,178074.04,2,1,0,1
15619360,Hsiao,Spain,Male,40,472,0.0,70154.22,1,0,0,0
15738148,Clarke,France,Female,51,465,122522.32,181297.65,1,0,1,1
15687946,Osborne,France,Female,61,556,117419.35,94153.83,1,1,0,1
15755196,Lavine,France,Female,49,834,131394.56,194365.76,1,0,1,1
15684171,Bianchi,Spain,Female,61,660,155931.11,158338.39,1,1,0,1
15754849,Tyler,Germany,Female,32,776,109421.13,126517.46,2,1,0,1
15602280,Martin,Germany,Female,27,829,112045.67,119708.21,1,1,1,1
15771573,Okagbue,Germany,Female,39,637,137843.8,117622.8,1,1,1,1
15766205,Yin,Germany,Male,38,550,103391.38,90878.13,1,1,0,1
15771873,Buccho,Germany,Female,37,776,103769.22,194099.12,2,0,0,1
15616550,Chidiebele,Germany,Male,44,698,116363.37,198059.16,2,0,0,1
15768193,Trevisani,Germany,Male,36,585,146050.97,86424.57,2,0,0,1
15683553,O'Brien,France,Female,33,788,0.0,116978.19,2,0,0,0
15702298,Parkhill,Germany,Male,41,655,125561.97,164040.94,1,0,1,1
15569590,Yoo,Germany,Male,42,601,98495.72,40014.76,1,0,1,1
